,method,finetune,dataset,alpha,n_epochs,lr,beta,regular_weight,K,Results/test_acc,Results/test_acc_bottom_decile,Results/test_acc_std,Results/test_loss,Results/test_loss_bottom_decile,Results/test_loss_std,Results/val_acc,Results_unseen/test_acc,Results_unseen/test_acc_bottom_decile,Results_unseen/test_acc_std,Results_unseen/test_loss,Results_unseen/test_loss_bottom_decile,Results_unseen/test_loss_std,Results_weighted/test_acc,Results_weighted/test_loss,Results_weighted_unseen/test_acc,Results_weighted_unseen/test_loss
0,fedavg,1,cifar--alpha0.5,0.5,6,0.1,,,,0.6757486036743416,0.5641025641025641,0.082105749872299,1.1829841249124993,0.7821844701583569,0.33727512785063996,0.6846736429498662,0.6615355934992609,0.5985401459854015,0.0820820934824229,1.2107825273008972,0.9706519401236756,0.25567929834313463,0.6754407747703005,1.1829670480723526,0.6742034943473793,1.1797990175088502
1,fedavg,0,cifar--alpha0.5,0.5,6,0.1,,,,0.6720122731943969,0.5714285714285714,0.08614989964887154,1.2039114423840611,0.7951873546721888,0.3568641281103229,0.6786864306286811,0.6699622083802126,0.5633802816901409,0.0672912823561642,1.213020163176155,0.9216664869610856,0.2381846760279924,0.6709709461137323,1.2011049842463797,0.6762589928057554,1.191934557978106
2,fedavg,0,cifar--alpha0.5,0.5,6,0.005,,,,0.6444498451552334,0.5454545454545454,0.07173595887607483,1.0796959565817734,0.8324092348416646,0.20381039969404036,0.6442611736033408,0.6424205387894004,0.583941605839416,0.06008804969553212,1.119184863140386,0.9313486618538426,0.2300097309073048,0.6460144027812267,1.0695718293923997,0.6505652620760535,1.085683697017191
3,fedavg,0,cifar--alpha0.5,0.5,6,0.05,,,,0.7034862423336706,0.6,0.07183422038193293,1.1118036824350173,0.8136817801345899,0.2712242414005171,0.6996931113700422,0.6946348485927049,0.6197183098591549,0.05215609895968387,1.129809955075345,0.8983055648453738,0.20892754028568183,0.7030047181524708,1.1091406979457723,0.7004110996916753,1.1091994327425532
4,fedavg,0,cifar--alpha0.5,0.5,6,0.01,,,,0.6335694920368301,0.5147058823529411,0.086398118493289,1.2068051927309615,0.8901888991511145,0.2879686313286742,0.6242284140669616,0.6297046197407711,0.4929577464788733,0.09170692710355796,1.2286318102035334,0.9340198154034822,0.28092102623183113,0.6332257263471567,1.2049999754271823,0.6382322713257965,1.20292939829955
5,fedavg,0,cifar--alpha0.5,0.5,6,0.5,,,,0.6271501902831427,0.5277777777777778,0.08244709810262106,1.4319611852612326,1.0518765648206074,0.35928830202441164,0.63196834233773,0.6404216355951697,0.5538461538461539,0.06899159693995909,1.4043186528913327,1.0635447167904577,0.2866761748753421,0.6291283834119692,1.434461288438471,0.6495375128468653,1.366484838346678
6,fedavg,1,cifar--alpha0.5,0.5,6,0.005,,,,0.540716689936317,0.3944954128440367,0.12109512115592344,1.5232186268325236,0.9623773082510216,0.46262629391410054,0.5276266615321825,0.4819473989560377,0.32608695652173914,0.13004266705623002,1.8375690033061016,1.3036417852748523,0.5074814609878162,0.5389868388378446,1.532040080280757,0.4696813977389517,1.872819477346575
7,fedavg,1,cifar--alpha0.5,0.5,6,0.01,,,,0.6007164222606363,0.4951456310679612,0.10189729208671708,1.363941136553845,0.9703369399286668,0.37538069352596265,0.6069571557849789,0.5609103818443074,0.4306569343065693,0.08686092653435945,1.5043770011314264,1.1065909748467115,0.35981772480591856,0.597839582815992,1.3740825872836615,0.564748201438849,1.4866686873042234
8,fedavg,1,cifar--alpha0.5,0.5,6,0.05,,,,0.6953292432578226,0.6,0.07394122082540192,1.106432963788333,0.7702824877313346,0.2863383965522996,0.695715740403694,0.6789238622623718,0.591304347826087,0.05266616889105725,1.1538121124983691,0.908708814087264,0.22898057165455624,0.6955550037248572,1.1078682023257154,0.683967112024666,1.1480065420686214
9,fedavg,1,cifar--alpha0.5,0.5,6,0.5,,,,0.6347318039847163,0.5277777777777778,0.07359703595155241,1.451946540976151,1.037136352845352,0.3336373682755092,0.6333994313767646,0.6351966295664828,0.5739130434782609,0.05841116397278347,1.4396866504151584,1.2494226048845765,0.2170268642359049,0.6360814502110752,1.448508187340883,0.6387461459403906,1.4305600233075026
10,exact,1,cifar--alpha0.5,0.5,6,0.1,0.9,,,0.6731165817599224,0.5666666666666667,0.0811586619339611,1.146458224908097,0.7847392280896505,0.3207691048490456,0.6747888714584338,0.6681831324825125,0.5915492957746479,0.06527798569823547,1.1686138215583906,0.859314710144105,0.2173978633900285,0.6743233176061584,1.1486061681795685,0.6762589928057554,1.15026799350104
11,exact,1,cifar--alpha0.5,0.5,6,0.01,0.9,,,0.5997600113070123,0.48,0.08906735935378422,1.3684659782716886,0.9553352991739908,0.30869141073557416,0.6084691646581636,0.5656695887218911,0.43661971830985913,0.10286580436520368,1.5545264841420476,1.038332531211573,0.44263668139129175,0.5961013161162155,1.3741694989666715,0.5678314491264131,1.5311081104411506
12,exact,1,cifar--alpha0.5,0.5,6,0.5,0.9,,,0.6361315158132743,0.5384615384615384,0.07766605878797057,1.3986889264284312,1.062341503726626,0.30071276155851456,0.6295549767251724,0.6250698248877039,0.52,0.0633871097708909,1.387253480853926,1.08305158495903,0.21551428454578153,0.6370747454680904,1.3932205380152412,0.6248715313463515,1.3936214812333485
13,exact,1,cifar--alpha0.5,0.5,6,0.005,0.9,,,0.5247960661968348,0.3643410852713178,0.10868804685317252,1.4805960732938792,1.014118659730051,0.3663328259887747,0.5335337667611038,0.4653370569345528,0.35036496350364965,0.1266258137601422,1.740851248913761,1.211547182953876,0.5231204661477978,0.5172585050906382,1.4981652905472225,0.4614594039054471,1.7349469364017251
14,exact,1,cifar--alpha0.5,0.5,6,0.05,0.9,,,0.6948304264278705,0.5934959349593496,0.07896966773433674,1.0706510245030043,0.7452101169847974,0.28093547193747315,0.6964969596322034,0.6771002469845053,0.6058394160583942,0.05533016219683828,1.115887940817982,0.8973701655864715,0.202233412405329,0.6944375465607152,1.0725599354259223,0.6813977389516958,1.1048897658312624
15,exact,1,cifar--alpha0.5,0.5,3,0.1,0.9,,,0.6836648228927646,0.5739130434782609,0.07398452607756639,1.106600587969965,0.7737345342497224,0.28824862759344116,0.6877256247106658,0.6735913654449416,0.5915492957746479,0.05810911442814213,1.116473952066993,0.9229847842115696,0.18273283871221635,0.6837596225478023,1.1032488138424112,0.6803699897225077,1.0932999883006915
16,exact,1,cifar--alpha0.5,0.5,3,0.01,0.9,,,0.6039004533824798,0.4752475247524752,0.09323720078360724,1.1955174558824635,0.8865829717128648,0.28406177574107916,0.6083642787713218,0.5550693907377517,0.37383177570093457,0.10813449225180564,1.3521631122665392,1.0050229964318214,0.34260769569924654,0.6005711447727837,1.199649667417756,0.5488180883864338,1.369081042617711
17,exact,1,cifar--alpha0.5,0.5,3,0.5,0.9,,,0.6347008478683619,0.5555555555555556,0.07262763688869481,1.3525612711681956,0.9891417622566224,0.2872480267336985,0.6230991265822089,0.6184851235174154,0.5660377358490566,0.04626733730449,1.4186226937634463,1.2241005361627002,0.16895705992979457,0.6342190216041719,1.3522440997679237,0.6212744090441932,1.394866467862249
18,exact,1,cifar--alpha0.5,0.5,3,0.005,0.9,,,0.5442504759680208,0.38461538461538464,0.12288929330160828,1.4197474830880474,0.9335179661775564,0.4161052714228192,0.5310605201019895,0.49300252266151706,0.3394495412844037,0.1266393528894854,1.6115463980327671,1.2008020126301309,0.4030405245324719,0.5446982865656816,1.4129466107455115,0.48715313463514903,1.640129437354486
19,exact,1,cifar--alpha0.5,0.5,3,0.05,0.9,,,0.6945149169416707,0.5794392523364486,0.07188406450167589,1.015525580187974,0.728856833304389,0.24459020017625335,0.6982479996059071,0.6850633450132227,0.5945945945945946,0.06436215667534138,1.0127179355359124,0.8092562515441686,0.19113699122833552,0.695803327539111,1.0120131700257082,0.6911613566289825,1.0002162045562777
20,exact,1,cifar--alpha0.5,0.5,6,0.1,0.7,,,0.6886953300190326,0.5853658536585366,0.07729257603135314,1.095106585986947,0.7906545179012494,0.2890310885092184,0.6982759943307659,0.6673051577181688,0.5652173913043478,0.07316275243207142,1.1425170800163011,0.8902845847531684,0.2234643371927715,0.6879811273901167,1.092362247175126,0.6757451181911613,1.1182710140453458
21,exact,1,cifar--alpha0.5,0.5,6,0.01,0.7,,,0.5917355080687476,0.47368421052631576,0.09208350475627948,1.22852888980998,0.8566617568333944,0.25629697781102606,0.6006939069282307,0.5511747338114426,0.43661971830985913,0.10667174693416448,1.3669953918869369,0.934866348038549,0.3401968443219193,0.587409982617333,1.2346855103378969,0.55344295991778,1.3545529048079634
22,exact,1,cifar--alpha0.5,0.5,6,0.5,0.7,,,0.09995781831306556,0.0,0.16345315658335222,2.323939680288204,2.184311866760254,0.10249493700540956,0.08355229317726554,0.07439093064143942,0.0,0.10228744650864782,2.348869174693836,2.2500666288229136,0.08042138747763744,0.111869878321331,2.321293355632959,0.06731757451181912,2.3486897514143315
23,exact,1,cifar--alpha0.5,0.5,6,0.005,0.7,,,0.516244987201291,0.34108527131782945,0.13864001151068123,1.437143941506792,0.8835435445643653,0.4563279133332116,0.5027644461067678,0.481281971695079,0.29347826086956524,0.13561999871960645,1.5214902840761853,1.16535475319379,0.40021270499529293,0.5117953811770549,1.4474778538317723,0.4727646454265159,1.5456081776734238
24,exact,1,cifar--alpha0.5,0.5,6,0.05,0.7,,,0.6987678429357841,0.6,0.0718966799310031,1.0013858992022693,0.6922215765867478,0.2446744279099124,0.6997384650693406,0.68205592881697,0.591304347826087,0.08068114057198415,1.0297792423680785,0.79998431748491,0.1984892531561414,0.6991556990315371,0.9994209756934246,0.6927029804727647,1.0053821197429285
25,exact,1,cifar--alpha0.5,0.5,3,0.1,0.7,,,0.6890224120619071,0.5892857142857143,0.07444845260316253,1.0296534059217053,0.7387867821860559,0.24898561207681832,0.689903788807127,0.6757732258556757,0.6056338028169014,0.061031410624217255,1.0546180339029465,0.8393697106256718,0.17848675517500823,0.6884777750186243,1.0271946320669918,0.682939362795478,1.0353818084851514
26,exact,1,cifar--alpha0.5,0.5,3,0.01,0.7,,,0.6091351459271032,0.4615384615384616,0.10406649158452529,1.2070406460591383,0.8100337200350576,0.3244844044921064,0.6055027421867163,0.5910261007007624,0.4678899082568808,0.09926321754006152,1.3092774468071195,1.000047174895682,0.29532114063993037,0.608393344921778,1.2062118000228088,0.5837615621788284,1.321346483715233
27,exact,1,cifar--alpha0.5,0.5,3,0.5,0.7,,,0.09804942136650067,0.0,0.16371759983646056,2.321446513062681,2.190814256668091,0.0975373729453704,0.08696138408635645,0.06898552523603402,0.0,0.10321512210394236,2.343714039568108,2.2556769114274244,0.07794847951380583,0.10938664017879314,2.3190724369844316,0.06115107913669065,2.34370128419882
28,exact,1,cifar--alpha0.5,0.5,3,0.005,0.7,,,0.5338032430611157,0.3674698795180723,0.12527903289098988,1.4036650920777354,0.9381199858405374,0.4009235126755444,0.5246443888594339,0.4841868340953597,0.3364485981308411,0.12899427857243315,1.5868400322593783,1.182197177564943,0.4102482310289494,0.5330270672957537,1.3978833594635365,0.48047276464542654,1.611263152774718
29,exact,1,cifar--alpha0.5,0.5,3,0.05,0.7,,,0.6970484831412402,0.5982905982905983,0.06886949017267326,0.9665892179942884,0.696817914435738,0.22014017635911773,0.696018240053853,0.6992051907196819,0.6204379562043796,0.05401287931167626,0.9604159759132724,0.7642439142713007,0.16839004908891686,0.6984107275887758,0.9638225746966692,0.7019527235354573,0.9504484264874008
30,exact,0,cifar--alpha0.5,0.5,6,0.1,0.9,,,0.6700593606285368,0.55,0.08425105559241278,1.1596260765776123,0.8070164877567848,0.3376665301437663,0.6774365123897843,0.6586884140686454,0.5766423357664233,0.07287461922678767,1.1826415179097851,0.8655035771974703,0.23040038659681047,0.6725850509063819,1.1566357693105551,0.6690647482014388,1.1635239624819371
