,method,finetune,dataset,alpha,n_epochs,lr,beta,regular_weight,K,Results/test_acc,Results/test_acc_bottom_decile,Results/test_acc_std,Results/test_loss,Results/test_loss_bottom_decile,Results/test_loss_std,Results/val_acc,Results_unseen/test_acc,Results_unseen/test_acc_bottom_decile,Results_unseen/test_acc_std,Results_unseen/test_loss,Results_unseen/test_loss_bottom_decile,Results_unseen/test_loss_std,Results_weighted/test_acc,Results_weighted/test_loss,Results_weighted_unseen/test_acc,Results_weighted_unseen/test_loss,sys_avg/total_model_size,sys_avg/total_upload_bytes,sys_avg/local_convergence_round,sys_avg/global_convergence_time_minutes,sys_avg/fl_end_time_minutes,sys_avg/total_flops,sys_avg/global_convergence_round,sys_avg/total_download_bytes,sys_avg/local_convergence_time_minutes
0,fedavg,0,cifar--alpha5.0,5.0,6,0.1,,,,0.7110471394417857,0.6476190476190476,0.05002537341922195,1.1191966472054264,0.8372983797030016,0.24152905379507808,0.7094150581591953,0.698349925436712,0.6635514018691588,0.040283439003436144,1.138616495543562,0.9385640551062192,0.17586579070183897,0.7106356198867212,1.1181342968838688,0.6997566909975669,1.1343627549726016,2.04M,216.8K,11.0990099009901,16.170385914851487,16.173363068316835,606.99G,90.0,216.0K,2.0782920706270627
1,fedavg,1,cifar--alpha5.0,5.0,6,0.1,,,,0.7117172398307939,0.6470588235294118,0.04924366128480044,1.1658898675728426,0.8697177171707153,0.2579234739652215,0.7125936697988973,0.703820912781737,0.65,0.03857751218874231,1.1813824332889766,0.9408793157001712,0.1855509477684996,0.7110132158590309,1.164520749186799,0.7051094890510949,1.176279757927804,2.04M,240.7K,11.0990099009901,17.9430874379538,17.946038520627063,679.56G,100.0,239.9K,2.066720501320132
2,fedavg,0,cifar--alpha5.0,5.0,6,0.005,,,,0.6765123569428149,0.6126126126126126,0.048054135767303954,1.0108542294258058,0.8145476442522708,0.15433242792060162,0.678438180872831,0.6749677454834282,0.625,0.03810358922849567,1.0075170403280629,0.8765850809385192,0.1235963126956172,0.676274386406545,1.0101358208347573,0.6759124087591241,1.005191096453191,2.04M,360.19K,11.0990099009901,27.284258004620455,27.288241243564357,1006.25G,150.0,359.39K,2.100087905775578
3,fedavg,0,cifar--alpha5.0,5.0,6,0.05,,,,0.7275059867862239,0.6593406593406593,0.04940740365373209,1.059683348097683,0.7997447094031139,0.24000793711881444,0.7263480087943048,0.7232519079137687,0.6637931034482759,0.03916323068201047,1.1019035631312808,0.9009041504426436,0.18078536367299772,0.7277533039647577,1.0554585010921342,0.7236009732360097,1.099894484493274,2.04M,288.5K,11.0990099009901,21.565943030858087,21.56960573481848,806.42G,120.0,287.7K,2.073490337458746
4,fedavg,0,cifar--alpha5.0,5.0,6,0.01,,,,0.681392372839276,0.6095238095238096,0.052266516004139375,1.0984340587797985,0.8342551637340236,0.1877346120734983,0.6861186476337526,0.6745976156586349,0.6346153846153846,0.03528966604392663,1.0959059424701325,0.8908213287029626,0.14772894268123027,0.6811831340465702,1.0972357930437662,0.6759124087591241,1.0945922545562985,2.04M,240.7K,11.0990099009901,17.97679662821782,17.979870116666667,673.75G,100.0,239.9K,2.1164179041254125
5,fedavg,0,cifar--alpha5.0,5.0,6,0.5,,,,0.668292029524465,0.61,0.053881639589641775,1.5193797162408764,1.192397299066054,0.323619712830556,0.6685385048168551,0.653404510859423,0.5769230769230769,0.05507041981127238,1.590325482299335,1.405383210401146,0.20441707514091464,0.6682190056639395,1.5206423722006035,0.6554744525547446,1.5841013848288732,2.04M,288.5K,11.0990099009901,21.576784224917485,21.58080061287129,806.42G,120.0,287.7K,2.0814778117161716
6,fedavg,1,cifar--alpha5.0,5.0,6,0.01,,,,0.6404423457223858,0.5728155339805825,0.057905816909927035,1.25306079879682,0.9487402387287306,0.2341484125870383,0.6436576515081793,0.6483621868265447,0.5955056179775281,0.03969870051567311,1.235145300936552,0.9736782154946956,0.1967363923074778,0.6416614222781624,1.2493884365068328,0.6496350364963503,1.2336747560767942,2.04M,216.8K,11.0990099009901,16.79041423762376,16.79358740561056,612.22G,90.0,216.0K,2.0457561447194723
7,fedavg,1,cifar--alpha5.0,5.0,6,0.005,,,,0.5778135514050576,0.4891304347826087,0.07846851319490478,1.5381684984385546,1.088455688121707,0.4101104072525394,0.5762865977409302,0.6009793094623948,0.55,0.04514079522374734,1.452642715347357,1.2136507148092444,0.25591322381340936,0.578980490874764,1.5344707404973092,0.6034063260340633,1.443545791876577,2.04M,384.08K,11.0990099009901,29.26898581765677,29.271519609075902,1.06T,160.0,383.29K,2.026409274917492
8,fedavg,1,cifar--alpha5.0,5.0,6,0.5,,,,0.6746041185988999,0.61,0.04819129696496055,1.4895077314871634,1.0981751283009846,0.3026019153178861,0.6665541186529585,0.6663550050225938,0.5961538461538461,0.04806558674731984,1.5610301214461548,1.2916371755510847,0.26341383503350646,0.6747640025173065,1.489595465973029,0.6666666666666666,1.561019257142451,2.04M,288.5K,11.0990099009901,22.411484137293726,22.414821678382836,813.4G,120.0,287.7K,2.05135372689769
9,fedavg,1,cifar--alpha5.0,5.0,6,0.05,,,,0.7293525970988262,0.675,0.046228360582846934,1.057711150250358,0.7600414428896117,0.23761893419392296,0.7271573979740429,0.7212616342902515,0.6810344827586207,0.03849800291945587,1.0903892425723858,0.8590074310887534,0.18080102497431047,0.7295154185022027,1.0540939620960048,0.7216545012165451,1.087366395014046,2.04M,288.5K,11.0990099009901,22.216446945049505,22.219662606270624,813.4G,120.0,287.7K,2.034054696864686
