,method,finetune,dataset,s,n_epochs,lr,regular_weight,K,beta,Results/test_acc,Results/test_acc_bottom_decile,Results/test_acc_std,Results/test_loss,Results/test_loss_bottom_decile,Results/test_loss_std,Results/val_acc,Results_unseen/test_acc,Results_unseen/test_acc_bottom_decile,Results_unseen/test_acc_std,Results_unseen/test_loss,Results_unseen/test_loss_bottom_decile,Results_unseen/test_loss_std,Results_weighted/test_acc,Results_weighted/test_loss,Results_weighted_unseen/test_acc,Results_weighted_unseen/test_loss,sys_avg/total_flops,sys_avg/global_convergence_time_minutes,sys_avg/fl_end_time_minutes,sys_avg/global_convergence_round,sys_avg/local_convergence_round,sys_avg/total_download_bytes,sys_avg/total_upload_bytes,sys_avg/local_convergence_time_minutes,sys_avg/total_model_size
0,pfedme,0,femnist--s02,2,6,0.1,0.9,3.0,,0.9028155048076923,0.8125,0.09392991314819638,0.34945255602360703,0.05250319093465805,0.47266601447998774,0.8896529580043223,0.9051339285714284,0.8125,0.06425896951109278,0.3674742477480322,0.08046210557222366,0.29403295563648074,0.9123417157125022,0.3191866341606912,0.9077777777777778,0.35906560762888856,2.45T,122.91879703034826,122.93019226384742,290.0,11.35323383084577,696.57K,697.37K,4.633525081343284,6.27M
1,pfedme,0,femnist--s02,2,6,0.1,0.2,3.0,,0.887109375,0.78125,0.09807643976567142,0.42494163519101374,0.06871290504932404,0.5413332823978397,0.8858774294739448,0.8981026785714284,0.78125,0.06943282990848614,0.3783694430545438,0.07117393612861633,0.2871846626503326,0.8969907407407407,0.389086060972879,0.9007407407407408,0.3715867651943807,3.47T,172.6568576075456,172.6712417314262,410.0,11.35323383084577,984.42K,985.21K,5.033106704063019,6.27M
2,pfedme,0,femnist--s02,2,6,0.1,0.1,3.0,,0.8897786458333334,0.75,0.10689443985273568,0.415046896431401,0.053179558366537094,0.5417038090840826,0.8894602047715638,0.8996651785714285,0.78125,0.06959839683724799,0.3722098177589942,0.06773168593645096,0.29617691458648226,0.9009971509971508,0.375059688186533,0.901851851851852,0.36566830532694306,5.74T,287.3430577646766,287.3510790623549,680.0,11.35323383084577,1.59M,1.59M,5.059403809618574,6.27M
3,pfedme,0,femnist--s02,2,6,0.1,0.05,3.0,,0.8718098958333333,0.75,0.11186402071042788,0.49870218267121047,0.08013367652893066,0.5889671697733514,0.8701772467068725,0.8887276785714284,0.78125,0.07806367171940512,0.401815568364691,0.07605309039354324,0.3023480353307784,0.8838141025641025,0.4512435309058241,0.8903703703703704,0.3955950421039705,5.74T,286.1544880649254,286.1630761490879,680.0,11.35323383084577,1.59M,1.59M,5.135776727777777,6.27M
4,pfedme,0,femnist--s02,2,6,0.01,0.9,3.0,,0.8524739583333332,0.71875,0.11362577816760028,0.5712542462104466,0.14737991988658905,0.5724011145962855,0.8464290898471457,0.8708705357142857,0.75,0.0741554509877231,0.4703679544851184,0.1300734430551529,0.30391701184257364,0.8648504273504274,0.5205019962843879,0.8729629629629629,0.4592129772680777,5.74T,283.76312688573796,283.7723345076285,680.0,11.35323383084577,1.59M,1.59M,4.9352969636815915,6.27M
5,pfedme,0,femnist--s02,2,6,0.01,0.2,3.0,,0.8102270646753752,0.6774193548387096,0.11036238824018664,0.696803339291364,0.2499183863401413,0.4809673892190576,0.8116919084253752,0.8329241071428571,0.78125,0.07306228436862612,0.5768540327437222,0.34492868185043335,0.2588284169363457,0.8228233608025797,0.6522316040423812,0.8377777777777777,0.5649441589691021,8.42T,0.0,412.2317673709784,0.0,11.35323383084577,2.34M,2.34M,4.9570308946932,6.27M
6,pfedme,0,femnist--s02,2,6,0.01,0.1,3.0,,0.7770444822208674,0.65625,0.10887094039332114,0.8187986888922751,0.3923272490501404,0.4296837372096983,0.7758726072208674,0.79921875,0.71875,0.08175548887345424,0.7110791228711605,0.4517727494239807,0.2534281087002085,0.7876209243998566,0.777186211624354,0.8048148148148148,0.6975841459521541,8.42T,0.0,412.58686776973474,0.0,11.35323383084577,2.34M,2.34M,4.996589153399668,6.27M
7,pfedme,0,femnist--s02,2,6,0.01,0.05,3.0,,0.7271752322440413,0.59375,0.11197954455353457,1.05513268224895,0.6291248798370361,0.37634721187741355,0.7220971072440413,0.7420758928571429,0.6875,0.0880748671221851,0.9692268535494803,0.7602041363716125,0.2537864105184819,0.7380867072733788,1.0180368792814236,0.7455555555555555,0.954470028700652,8.42T,0.0,422.9780817494196,0.0,11.35323383084577,2.34M,2.34M,5.083667765091211,6.27M
8,pfedme,0,femnist--s02,2,6,0.5,0.9,3.0,,0.9235887096774194,0.84375,0.07360362199766977,0.26523989411556004,0.03820643573999405,0.2923958567887116,0.8959320633964791,0.9008928571428572,0.7857142857142857,0.07069376506006275,0.3787786170723848,0.07593318819999695,0.2993106851570369,0.9290357047457928,0.25143308209275406,0.9037037037037036,0.37410298651567214,2.2T,108.27259819436154,108.28520433739637,260.0,11.35323383084577,624.61K,625.4K,5.06662976973466,6.27M
9,pfedme,0,femnist--s02,2,6,0.5,0.2,3.0,,0.9265625,0.84375,0.07371953820053405,0.25902396280046863,0.023740777745842937,0.2600423750718475,0.9075133954982856,0.9111607142857142,0.8125,0.06691069283998284,0.3803015581157524,0.02799338474869728,0.31410694859568705,0.9326032763532764,0.2465969702252784,0.9137037037037036,0.3755300803717088,3.47T,172.02202674966833,172.02996363275292,410.0,11.35323383084577,984.42K,985.21K,4.966112661442787,6.27M
