,method,finetune,dataset,n_epochs,batch_size,lr,beta,regular_weight,K,Results/test_acc,Results/test_acc_bottom_decile,Results/test_acc_std,Results/test_f1,Results/test_f1_bottom_decile,Results/test_f1_std,Results/test_loss,Results/test_loss_bottom_decile,Results/test_loss_std,Results/val_acc,Results_unseen/test_acc,Results_unseen/test_acc_bottom_decile,Results_unseen/test_acc_std,Results_unseen/test_f1,Results_unseen/test_f1_bottom_decile,Results_unseen/test_f1_std,Results_unseen/test_loss,Results_unseen/test_loss_bottom_decile,Results_unseen/test_loss_std,Results_weighted/test_acc,Results_weighted/test_f1,Results_weighted/test_loss,Results_weighted_unseen/test_acc,Results_weighted_unseen/test_f1,Results_weighted_unseen/test_loss
0,exact,0,sst2,6,32.0,0.1,0.8,,,0.7713367467406537,0.5454545454545454,0.14875292716624083,0.582972834919702,0.35294117647058826,0.22559578929453825,0.7136397825908677,0.12840430438518524,0.5467125189696117,0.8338826238654476,0.738298024190519,0.6666666666666666,0.10824002323723948,0.5801941754928884,0.4,0.1711272316608083,0.6638748836585846,0.4701137642065684,0.2182090963344017,0.7728658536585366,0.5475124452480393,0.6943281638001592,0.7592592592592593,0.5725098054461356,0.7234329332907995
1,exact,0,sst2,6,32.0,0.01,0.8,,,0.7011584487127125,0.375,0.26790297135623203,0.5731257784648682,0.28571428571428575,0.28938062238602735,1.0893775911831365,0.019150523468852043,1.080389944886044,0.7680235532457009,0.7490381075801968,0.4666666666666667,0.1956648135376388,0.6222293868269101,0.3333333333333333,0.21818288215232817,0.8378863321724295,0.17503823339939115,0.7741730041244242,0.7088414634146342,0.5231670772159885,1.007271540299038,0.7222222222222222,0.5493643662997808,0.976789278185202
2,exact,0,sst2,6,32.0,0.5,0.8,,,0.6209736047936008,0.2,0.3256509679398283,0.4940743046398789,0.1875,0.3063333301917439,1.286235980385693,0.06924587488174438,1.1490639208899964,0.713098376277369,0.6150404740440237,0.3103448275862069,0.2598215771829877,0.476917953907118,0.2368421052631579,0.20572306730291515,1.334364778334382,0.2069564014673233,1.0876413024418374,0.6326219512195121,0.4529910648878978,1.217828800674441,0.625,0.4487987972432847,1.1800281642073835
3,exact,0,sst2,6,32.0,0.005,0.8,,,0.6419734333798728,0.2,0.3192528575128992,0.5167093703575931,0.16666666666666669,0.3068337113075697,0.8455559764514321,0.10067874193191528,0.7325999777493637,0.7464803926236286,0.7352657576440538,0.4666666666666667,0.2055312346559356,0.5669553381506008,0.3333333333333333,0.23149416735421277,0.5817477629958898,0.1523149013519287,0.4753376949761142,0.6859756097560976,0.5018487713434566,0.7834683804596752,0.7268518518518519,0.5586210221203584,0.6564896838670528
4,exact,0,sst2,6,32.0,0.05,0.8,,,0.741039287046741,0.5,0.21307475672443252,0.5474828411939991,0.3333333333333333,0.24403825099538293,0.8408192758397444,0.041967496275901794,0.7321541288324037,0.8490643316797545,0.79585277214334,0.6896551724137931,0.09508526887277008,0.6454148916950747,0.40816326530612246,0.17596855643009804,0.7241196993609955,0.35823360085487366,0.3756701081143788,0.760670731707317,0.5288756652728878,0.8076438539781786,0.7870370370370371,0.5908722208996117,0.7377156800142041
5,exact,0,sst2,3,32.0,0.1,0.8,,,0.699148746698215,0.4,0.23437589816492865,0.554486633847253,0.3,0.26134055980065435,1.010992191232012,0.03627388924360275,0.9366998164666578,0.7835714418505972,0.7253877432198933,0.5,0.17212516532297112,0.5504663782966995,0.3333333333333333,0.1934729142108108,0.9098506367412108,0.46510788798332214,0.5413166737203743,0.698170731707317,0.49435889070497807,1.033459340260778,0.7083333333333334,0.5480122899770472,1.0190631449222565
6,exact,0,sst2,3,32.0,0.01,0.8,,,0.5147714272528345,0.0,0.435576104027265,0.4542040469213446,0.0,0.42363069670840087,2.957448032329614,0.000517522101290524,2.6152445955053936,0.4830198293695164,0.5516993464052288,0.1,0.4032099671207845,0.4563651291237497,0.09090909090909093,0.3835848074020268,2.7177886022375253,0.0004666574823204428,2.3998682216369827,0.49085365853658536,0.4416400079923216,3.1005451994219695,0.4907407407407408,0.4263593101236779,3.0517027410921096
7,exact,1,sst2,6,32.0,0.1,0.8,,,0.6366519019651171,0.20454545454545456,0.3185317973708612,0.5214317030206066,0.19576719576719576,0.3115496219115602,1.487643406718063,0.006078595761209726,1.3951321917546848,0.6686146456771527,0.7688175193449027,0.36666666666666664,0.27075639429078013,0.6549523572284328,0.3485714285714286,0.28446437395788254,0.8642606343231671,0.025521425530314445,0.9400004273693944,0.6463414634146342,0.5328187465035557,1.4401273847004898,0.7083333333333334,0.5213091888185895,1.0004607176821014
8,exact,0,sst2,3,32.0,0.5,0.8,,,0.48522857274716547,0.0,0.435576104027265,0.3747066873160239,0.0,0.38239728013614976,0.8175974031097887,0.32505490924372815,0.4167626598458891,0.5212924154294862,0.4483006535947712,0.0,0.4032099671207845,0.3021923960971949,0.0,0.3009832885444905,0.8529272581311478,0.4207417368888855,0.3858046015659256,0.5091463414634146,0.3590643059292855,0.7947116689075057,0.5092592592592593,0.3398077405027224,0.7946099063588513
9,exact,0,sst2,3,32.0,0.005,0.8,,,0.6550482043478663,0.25,0.29572822873334303,0.513817813135033,0.2,0.2847674948487348,0.7452082926129231,0.14867547538244363,0.5959371591335798,0.7392502320615572,0.7071500075125836,0.41379310344827586,0.24183335503538905,0.5496320547378652,0.3055555555555556,0.2441773427413833,0.5385687833544852,0.1501135230064392,0.3971407408858963,0.6661585365853658,0.4692935470167364,0.7046928231131637,0.7083333333333334,0.5501261892753703,0.5856013982384293
10,exact,1,sst2,6,32.0,0.01,0.8,,,0.667121087842711,0.13636363636363635,0.311636863672083,0.5201404893606189,0.13457556935817805,0.30731205940215983,0.998197251994107,0.03289693593978882,1.1413442996563776,0.7441446133257239,0.8708114529336639,0.7777777777777778,0.087394267333757,0.6838000721613529,0.4528301886792453,0.21831341203457372,0.3300346359953113,0.15486235916614532,0.13956062056650487,0.7027439024390244,0.5314936878470735,0.9717324338466492,0.8379629629629629,0.6066571341485725,0.400578743605702
11,exact,0,sst2,3,32.0,0.05,0.8,,,0.676836346901253,0.3333333333333333,0.29118245977917323,0.5373582737102897,0.2702702702702703,0.2966092816793758,1.3641467335910318,0.023556895554065704,1.4331757577752773,0.7735239898566287,0.6547453234167231,0.3333333333333333,0.22405218667563784,0.5225480269518629,0.2926829268292683,0.2022927761258067,1.188685082053316,0.1840261667966843,1.0184490710622354,0.6859756097560976,0.4806683410813802,1.2198672212933428,0.6759259259259259,0.5121329585957125,1.2425636817459706
12,exact,0,sst2,6,32.0,0.1,0.6,,,0.6726026922020664,0.3333333333333333,0.291300244017938,0.5555000620966889,0.25,0.30280067292337903,1.2193124184506057,0.022418217733502388,1.1606840007343588,0.7240576970188796,0.6617561603185335,0.26666666666666666,0.29200778886808,0.5505702112358459,0.2368421052631579,0.2590806796315412,1.2296192881190913,0.1824669986963272,1.1477495822834631,0.6783536585365854,0.5024077230283994,1.2093260936411885,0.6388888888888888,0.4775402015361596,1.2321100505413831
13,exact,0,sst2,6,32.0,0.01,0.6,,,0.6498962302181106,0.25,0.30862229062724816,0.5308748557847448,0.2,0.3067026877910258,0.8814972567108846,0.04221107438206673,0.7847172431401434,0.7377844156942472,0.7139918112839005,0.46551724137931033,0.19503527644310653,0.5245686833133123,0.3333333333333333,0.1838654038057801,0.6306513671902405,0.14792315661907196,0.5200500781410632,0.6783536585365854,0.5022099042769893,0.8273543315835258,0.7222222222222222,0.5205539374171761,0.7299076294595445
14,exact,1,sst2,6,32.0,0.5,0.8,,,0.5147714272528345,0.0,0.435576104027265,0.4542040469213446,0.0,0.42363069670840087,2.8103191251101785,0.0025119706988334656,2.5190066434658664,0.47870758457051377,0.5516993464052288,0.1,0.4032099671207845,0.4563651291237497,0.09090909090909093,0.3835848074020268,2.500985731251923,0.003414570097008656,2.270487649577594,0.49085365853658536,0.4416400079923216,2.9265361109545465,0.4907407407407408,0.4263593101236779,2.8395424771588296
15,exact,1,sst2,6,32.0,0.005,0.8,,,0.6375129670060431,0.041666666666666664,0.3479648441159646,0.5073731399899819,0.039999999999999994,0.33515151439060636,1.139421751146293,0.008895035833120346,1.443021538565773,0.7184709358856531,0.797800409435805,0.5517241379310345,0.16422405629491382,0.6229513307220962,0.35555555555555557,0.2303710635014727,0.406238942002428,0.2417702674865723,0.16396264183497536,0.6737804878048781,0.5118794743728576,1.0867853774359058,0.7777777777777778,0.5963273191895565,0.43302485857296874
16,exact,1,sst2,6,32.0,0.05,0.8,,,0.7367182062504027,0.5,0.2190228016965538,0.5449407829231414,0.3333333333333333,0.2497751791866875,0.909147480767254,0.011021757498383522,0.8051862063572092,0.8514019282628136,0.7715376380437232,0.603448275862069,0.13896476929926754,0.6530327602505022,0.3763440860215054,0.2060049500068893,0.8175145325475726,0.21011894941329956,0.4955626546475219,0.7545731707317073,0.5278786879413061,0.8595402319312221,0.7638888888888888,0.6072936975658749,0.8543169159028265
